日本語,英語,キー
可鱗でしょう？,Isn't It Scute?,advancements.adventure.brush_armadillo.title
30m以上離れた場所から的の中心を射抜く,Hit the bullseye of a Target block from at least 30 meters away,advancements.adventure.bullseye.description
的中,Bullseye,advancements.adventure.bullseye.title
4つの壺の欠片から飾り壺を作る,Make a Decorated Pot out of 4 Pottery Sherds,advancements.adventure.craft_decorated_pot_using_only_sherds.description
丁寧な修復作業,Careful Restoration,advancements.adventure.craft_decorated_pot_using_only_sherds.title
自動作業台が自動作業台を作る様子を観察する,Be near a Crafter when it crafts a Crafter,advancements.adventure.crafters_crafting_crafters.description
自動作業台製自動作業台,Crafters Crafting Crafters,advancements.adventure.crafters_crafting_crafters.title
ワールドの頂上（限界高度）からワールドの底へ落下し、生き残る,Free fall from the top of the world (build limit) to the bottom of the world and survive,advancements.adventure.fall_from_world_height.description
洞窟と崖,Caves & Cliffs,advancements.adventure.fall_from_world_height.title
襲撃から村を守る,Successfully defend a village from a raid,advancements.adventure.hero_of_the_village.description
村の英雄,Hero of the Village,advancements.adventure.hero_of_the_village.title
ハチミツブロックに飛び込み、落下を阻止する,Jump into a Honey Block to break your fall,advancements.adventure.honey_block_slide.description
べとべとな状況,Sticky Situation,advancements.adventure.honey_block_slide.title
敵対的なモンスターを倒す,Kill any hostile monster,advancements.adventure.kill_a_mob.description
モンスターハンター,Monster Hunter,advancements.adventure.kill_a_mob.title
すべての種類の敵対的なモンスターを倒す,Kill one of every hostile monster,advancements.adventure.kill_all_mobs.description
モンスター狩りの達人,Monsters Hunted,advancements.adventure.kill_all_mobs.title
スカルクカタリストの近くでMobを倒す,Kill a mob near a Sculk Catalyst,advancements.adventure.kill_mob_near_sculk_catalyst.description
「それ」は侵食する,It Spreads,advancements.adventure.kill_mob_near_sculk_catalyst.title
斧で銅の電球の錆をとる,Scrape a Copper Bulb with an Axe to make it brighter,advancements.adventure.lighten_up.description
明るくなーれ,Lighten Up,advancements.adventure.lighten_up.title
火事を起こすことなく不意な落雷から村人を守る,Protect a Villager from an undesired shock without starting a fire,advancements.adventure.lightning_rod_with_villager_no_fire.description
危機一髪,Surge Protector,advancements.adventure.lightning_rod_with_villager_no_fire.title
試練の間に足を踏み入れる,Step foot in a Trial Chamber,advancements.adventure.minecraft_trials_edition.description
Minecraft: トライアル版,Minecraft: Trial(s) Edition,advancements.adventure.minecraft_trials_edition.title
クロスボウを撃つ,Shoot a Crossbow,advancements.adventure.ol_betsy.description
おてんば,Ol' Betsy,advancements.adventure.ol_betsy.title
メイスを使って一撃でハート50個分のダメージを与える,Deal 50 hearts of damage in a single hit using the Mace,advancements.adventure.overoverkill.description
超・やり過ぎ,Over-Overkill,advancements.adventure.overoverkill.title
ジュークボックスの音楽で草地を盛り上げる,Make the Meadows come alive with the sound of music from a Jukebox,advancements.adventure.play_jukebox_in_meadows.description
サウンド・オブ・ミュージック,Sound of Music,advancements.adventure.play_jukebox_in_meadows.title
模様入りの本棚からレッドストーンコンパレーターを介して信号を読み取る,Read the power signal of a Chiseled Bookshelf using a Comparator,advancements.adventure.read_power_from_chiseled_bookshelf.description
本は力なり,The Power of Books,advancements.adventure.read_power_from_chiseled_bookshelf.title
不吉な試練の鍵を使って不吉な宝物庫を解錠する,Unlock an Ominous Vault with an Ominous Trial Key,advancements.adventure.revaulting.description
怪錠,Revaulting,advancements.adventure.revaulting.title
冒険、探索、戦闘,"Adventure, exploration and combat",advancements.adventure.root.description
冒険,Adventure,advancements.adventure.root.title
怪しげなブロックをブラシで払い、壺の欠片を手に入れる,Brush a Suspicious block to obtain a Pottery Sherd,advancements.adventure.salvage_sherd.description
文明の面影に敬意を,Respecting the Remnants,advancements.adventure.salvage_sherd.title
矢で何かを撃つ,Shoot something with an Arrow,advancements.adventure.shoot_arrow.description
狙いを定めて,Take Aim,advancements.adventure.shoot_arrow.title
ベッドで眠り、リスポーン地点を設定する,Sleep in a Bed to change your respawn point,advancements.adventure.sleep_in_bed.description
良い夢見てね,Sweet Dreams,advancements.adventure.sleep_in_bed.title
50m以上離れた場所からスケルトンを倒す,Kill a Skeleton from at least 50 meters away,advancements.adventure.sniper_duel.description
スナイパー対決,Sniper Duel,advancements.adventure.sniper_duel.title
望遠鏡を通してエンダードラゴンを観察する,Look at the Ender Dragon through a Spyglass,advancements.adventure.spyglass_at_dragon.description
あれは飛行機？,Is It a Plane?,advancements.adventure.spyglass_at_dragon.title
望遠鏡を通してガストを観察する,Look at a Ghast through a Spyglass,advancements.adventure.spyglass_at_ghast.description
あれは風船？,Is It a Balloon?,advancements.adventure.spyglass_at_ghast.title
望遠鏡を通してオウムを観察する,Look at a Parrot through a Spyglass,advancements.adventure.spyglass_at_parrot.description
あれは鳥？,Is It a Bird?,advancements.adventure.spyglass_at_parrot.title
村を守ってもらうためにアイアンゴーレムを召喚する,Summon an Iron Golem to help defend a village,advancements.adventure.summon_iron_golem.description
お手伝いさん,Hired Help,advancements.adventure.summon_iron_golem.title
トライデントを投げつける。\n注意：唯一の武器を捨てることは良い考えではありません。,Throw a Trident at something.\nNote: Throwing away your only weapon is not a good idea.,advancements.adventure.throw_trident.description
もったいぶった一言,A Throwaway Joke,advancements.adventure.throw_trident.title
不死のトーテムを使用して死を免れる,Use a Totem of Undying to cheat death,advancements.adventure.totem_of_undying.description
死を超えて,Postmortal,advancements.adventure.totem_of_undying.title
村人と取引をする,Successfully trade with a Villager,advancements.adventure.trade.description
良い取引だ！,What a Deal!,advancements.adventure.trade.title
建築限界高度で村人と取引をする,Trade with a Villager at the build height limit,advancements.adventure.trade_at_world_height.description
星の商人,Star Trader,advancements.adventure.trade_at_world_height.title
尖塔風、ブタの鼻風、あばら模様、監獄風、静寂、ヴェックス風、潮流風、先駆者風の防具装飾を、それぞれ最低一回以上施す,"Apply these smithing templates at least once: Spire, Snout, Rib, Ward, Silence, Vex, Tide, Wayfinder",advancements.adventure.trim_with_all_exclusive_armor_patterns.description
オシャレな鍛冶職人,Smithing with Style,advancements.adventure.trim_with_all_exclusive_armor_patterns.title
鍛冶台で防具に装飾を施す,Craft a trimmed armor at a Smithing Table,advancements.adventure.trim_with_any_armor_pattern.description
おニューの衣装,Crafting a New Look,advancements.adventure.trim_with_any_armor_pattern.title
矢を貫通させて2体のファントムを倒す,Kill two Phantoms with a piercing Arrow,advancements.adventure.two_birds_one_arrow.description
一石二鳥,"Two Birds, One Arrow",advancements.adventure.two_birds_one_arrow.title
試練の鍵を使って宝物庫を解錠する,Unlock a Vault with a Trial Key,advancements.adventure.under_lock_and_key.description
錠と鍵に隠されしもの,Under Lock and Key,advancements.adventure.under_lock_and_key.title
雷を村人に落とす,Strike a Villager with lightning,advancements.adventure.very_very_frightening.description
とてもとても恐ろしい,Very Very Frightening,advancements.adventure.very_very_frightening.title
襲撃隊の大将を倒す。\n当分の間村から離れて過ごされてみてはいかがでしょうか…,Kill a raid captain.\nMaybe consider staying away from villages for the time being...,advancements.adventure.voluntary_exile.description
自主的な亡命,Voluntary Exile,advancements.adventure.voluntary_exile.title
粉雪の上を歩く…沈むことなく,Walk on Powder Snow... without sinking in it,advancements.adventure.walk_on_powder_snow_with_leather_boots.description
ウサギのように軽く,Light as a Rabbit,advancements.adventure.walk_on_powder_snow_with_leather_boots.title
ウィンドチャージを使って8ブロック以上飛び上がる,Use a Wind Charge to launch yourself upward 8 blocks,advancements.adventure.who_needs_rockets.description
ロケットいらず,Who Needs Rockets?,advancements.adventure.who_needs_rockets.title
ピリジャーを奴らの手段で懲らしめる,Give a Pillager a taste of their own medicine,advancements.adventure.whos_the_pillager_now.description
どっちが略奪者？,Who's the Pillager Now?,advancements.adventure.whos_the_pillager_now.title
ここには何もないようです…,There doesn't seem to be anything here...,advancements.empty
ガラス瓶にドラゴンブレスを採取する,Collect Dragon's Breath in a Glass Bottle,advancements.end.dragon_breath.description
口臭に気をつけよう,You Need a Mint,advancements.end.dragon_breath.title
ドラゴンの卵を持つ,Hold the Dragon Egg,advancements.end.dragon_egg.description
ザ・ネクストジェネレーション,The Next Generation,advancements.end.dragon_egg.title
エリトラを見つける,Find Elytra,advancements.end.elytra.description
空はどこまでも高く,Sky's the Limit,advancements.end.elytra.title
島を脱出する,Escape the island,advancements.end.enter_end_gateway.description
遠方への逃走,Remote Getaway,advancements.end.enter_end_gateway.title
入りたまえ、何が起こるだろうか？,"Go on in, what could happen?",advancements.end.find_end_city.description
ゲームの果ての都市,The City at the End of the Game,advancements.end.find_end_city.title
幸運を祈る,Good luck,advancements.end.kill_dragon.description
エンドの解放,Free the End,advancements.end.kill_dragon.title
シュルカーの攻撃で50ブロック以上浮遊する,Levitate up 50 blocks from the attacks of a Shulker,advancements.end.levitate.description
ここからの素晴らしい眺め,Great View From Up Here,advancements.end.levitate.title
エンダードラゴンを復活させる,Respawn the Ender Dragon,advancements.end.respawn_dragon.description
おしまい…再び…,The End... Again...,advancements.end.respawn_dragon.title
それともはじまり？,Or the beginning?,advancements.end.root.description
ジ・エンド,The End,advancements.end.root.title
アレイに音符ブロックの場所へケーキを落としてもらう,Have an Allay drop a Cake at a Note Block,advancements.husbandry.allay_deliver_cake_to_note_block.description
バースデー・ソング,Birthday Song,advancements.husbandry.allay_deliver_cake_to_note_block.title
アレイにアイテムを運んできてもらう,Have an Allay deliver items to you,advancements.husbandry.allay_deliver_item_to_player.description
君はともだち,You've Got a Friend in Me,advancements.husbandry.allay_deliver_item_to_player.title
バケツでウーパールーパーを捕まえる,Catch an Axolotl in a Bucket,advancements.husbandry.axolotl_in_a_bucket.description
いちばんカワイイ捕食者,The Cutest Predator,advancements.husbandry.axolotl_in_a_bucket.title
身体にどんな影響があろうと、食べられるものはすべて食べる,"Eat everything that is edible, even if it's not good for you",advancements.husbandry.balanced_diet.description
バランスの取れた食事,A Balanced Diet,advancements.husbandry.balanced_diet.title
すべての種類の動物を繁殖させる,Breed all the animals!,advancements.husbandry.breed_all_animals.description
2匹ずつ,Two by Two,advancements.husbandry.breed_all_animals.title
動物を繁殖させる,Breed two animals together,advancements.husbandry.breed_an_animal.description
コウノトリの贈り物,The Parrots and the Bats,advancements.husbandry.breed_an_animal.title
すべての種類のネコを手懐ける,Tame all Cat variants!,advancements.husbandry.complete_catalogue.description
猫大全集,A Complete Catalogue,advancements.husbandry.complete_catalogue.title
子どものスニッファーに餌を与える,Feed a Snifflet,advancements.husbandry.feed_snifflet.description
可愛らしい鼻の音,Little Sniffs,advancements.husbandry.feed_snifflet.title
魚を捕る,Catch a fish,advancements.husbandry.fishy_business.description
生臭い仕事,Fishy Business,advancements.husbandry.fishy_business.title
全種類のフロッグライトをインベントリに入れる,Have all Froglights in your inventory,advancements.husbandry.froglights.description
僕たちの力を合わせて！,With Our Powers Combined!,advancements.husbandry.froglights.title
ウーパールーパーと共に戦い、勝利する,Team up with an Axolotl and win a fight,advancements.husbandry.kill_axolotl_target.description
友情の癒しパワー！,The Healing Power of Friendship!,advancements.husbandry.kill_axolotl_target.title
それぞれの種類のカエルをリードで繋ぐ,Get each Frog variant on a Lead,advancements.husbandry.leash_all_frog_variants.description
みんなで町に跳び込もう,When the Squad Hops into Town,advancements.husbandry.leash_all_frog_variants.title
いずれかの種類の看板の文字を発光させる,Make the text of any kind of sign glow,advancements.husbandry.make_a_sign_glow.description
この輝きに驚くことなかれ！,Glow and Behold!,advancements.husbandry.make_a_sign_glow.title
ネザライトインゴットでクワを強化し、己の人生の選択について考え直す,"Use a Netherite Ingot to upgrade a Hoe, and then reevaluate your life choices",advancements.husbandry.netherite_hoe.description
真面目な献身,Serious Dedication,advancements.husbandry.netherite_hoe.title
スニッファーの卵を手に入れる,Obtain a Sniffer Egg,advancements.husbandry.obtain_sniffer_egg.description
興味深い匂い,Smells Interesting,advancements.husbandry.obtain_sniffer_egg.title
スニッファーが見つけた種を植える,Plant any Sniffer seed,advancements.husbandry.plant_any_sniffer_seed.description
遥か古の植物,Planting the Past,advancements.husbandry.plant_any_sniffer_seed.title
種を植え、成長を観察する,Plant a seed and watch it grow,advancements.husbandry.plant_seed.description
種だらけの場所,A Seedy Place,advancements.husbandry.plant_seed.title
ハサミを使ってオオカミから鎧を外す,Remove Wolf Armor from a Wolf using Shears,advancements.husbandry.remove_wolf_armor.description
キレがいいね,Shear Brilliance,advancements.husbandry.remove_wolf_armor.title
アルマジロのウロコを使って損傷したオオカミの鎧を修復する,Repair a damaged Wolf Armor using Armadillo Scutes,advancements.husbandry.repair_wolf_armor.description
まるで新品,Good as New,advancements.husbandry.repair_wolf_armor.title
ヤギと一緒にボートに乗り、浮かぶ,Get in a Boat and float with a Goat,advancements.husbandry.ride_a_boat_with_a_goat.description
あなたのヤギたい様に！,Whatever Floats Your Goat!,advancements.husbandry.ride_a_boat_with_a_goat.title
この世界は友達と食べ物でいっぱいです,The world is full of friends and food,advancements.husbandry.root.description
農業,Husbandry,advancements.husbandry.root.title
焚き火を利用して、ミツバチを怒らせずにガラス瓶にハチミツを採取する,Use a Campfire to collect Honey from a Beehive using a Glass Bottle without aggravating the Bees,advancements.husbandry.safely_harvest_honey.description
秘蜜の晩餐会,Bee Our Guest,advancements.husbandry.safely_harvest_honey.title
シルクタッチを使用して、3匹のミツバチが中に入っているハチの巣を移動する,"Move a Bee Nest, with 3 Bees inside, using Silk Touch",advancements.husbandry.silk_touch_nest.description
綿蜜な引越し,Total Beelocation,advancements.husbandry.silk_touch_nest.title
魚を捕まえる…釣竿なしで！,Catch a Fish... without a Fishing Rod!,advancements.husbandry.tactical_fishing.description
戦術的漁業,Tactical Fishing,advancements.husbandry.tactical_fishing.title
バケツでオタマジャクシを捕まえる,Catch a Tadpole in a Bucket,advancements.husbandry.tadpole_in_a_bucket.description
おけおけ,Bukkit Bukkit,advancements.husbandry.tadpole_in_a_bucket.title
動物を手懐ける,Tame an animal,advancements.husbandry.tame_an_animal.description
永遠の親友となるだろう,Best Friends Forever,advancements.husbandry.tame_an_animal.title
銅ブロックの錆止めをこすり落とす！,Scrape Wax off of a Copper block!,advancements.husbandry.wax_off.description
錆止め落とし,Wax Off,advancements.husbandry.wax_off.title
銅ブロックにハニカムを塗る！,Apply Honeycomb to a Copper block!,advancements.husbandry.wax_on.description
錆止め,Wax On,advancements.husbandry.wax_on.title
すべての種類のオオカミを手懐ける,Tame one of each Wolf variant,advancements.husbandry.whole_pack.description
ワンチーム,The Whole Pack,advancements.husbandry.whole_pack.title
すべての種類の効果の付与を同時に受ける,Have every effect applied at the same time,advancements.nether.all_effects.description
どうやってここまで？,How Did We Get Here?,advancements.nether.all_effects.title
すべての種類のポーション効果の付与を同時に受ける,Have every potion effect applied at the same time,advancements.nether.all_potions.description
猛烈なカクテル,A Furious Cocktail,advancements.nether.all_potions.title
ポーションを醸造する,Brew a Potion,advancements.nether.brew_potion.description
町のお薬屋さん,Local Brewery,advancements.nether.brew_potion.title
リスポーンアンカーを最大までチャージする,Charge a Respawn Anchor to the maximum,advancements.nether.charge_respawn_anchor.description
人に九生なし,"Not Quite \""Nine\"" Lives",advancements.nether.charge_respawn_anchor.title
ビーコンを組み立てて起動させる,Construct and place a Beacon,advancements.nether.create_beacon.description
生活のビーコン,Bring Home the Beacon,advancements.nether.create_beacon.title
最大パワーのビーコンを作る,Bring a Beacon to full power,advancements.nether.create_full_beacon.description
ビーコネーター,Beaconator,advancements.nether.create_full_beacon.title
金でピグリンの気をそらす,Distract Piglins with gold,advancements.nether.distract_piglin.description
わーいぴかぴか！,Oh Shiny,advancements.nether.distract_piglin.title
すべての種類のネザーのバイオームを発見する,Explore all Nether biomes,advancements.nether.explore_nether.description
ホットな観光地,Hot Tourist Destinations,advancements.nether.explore_nether.title
ネザーを利用して7km先のオーバーワールドへ移動する,Use the Nether to travel 7 km in the Overworld,advancements.nether.fast_travel.description
亜空間バブル,Subspace Bubble,advancements.nether.fast_travel.title
砦の遺跡へ入る,Enter a Bastion Remnant,advancements.nether.find_bastion.description
兵どもが夢の跡,Those Were the Days,advancements.nether.find_bastion.title
ネザー要塞に侵入する,Break your way into a Nether Fortress,advancements.nether.find_fortress.description
恐ろしい要塞,A Terrible Fortress,advancements.nether.find_fortress.title
ウィザースケルトンの頭蓋骨を手に入れる,Obtain a Wither Skeleton's skull,advancements.nether.get_wither_skull.description
不気味で怖いスケルトン,Spooky Scary Skeleton,advancements.nether.get_wither_skull.title
砦の遺跡にあるチェストを開く,Loot a Chest in a Bastion Remnant,advancements.nether.loot_bastion.description
ブタ戦争,War Pigs,advancements.nether.loot_bastion.title
ネザライトの防具一式を手に入れる,Get a full suit of Netherite armor,advancements.nether.netherite_armor.description
残骸で私を覆って,Cover Me in Debris,advancements.nether.netherite_armor.title
古代の残骸を手に入れる,Obtain Ancient Debris,advancements.nether.obtain_ancient_debris.description
深淵に隠されしもの,Hidden in the Depths,advancements.nether.obtain_ancient_debris.title
ブレイズロッドを手に入れる,Relieve a Blaze of its rod,advancements.nether.obtain_blaze_rod.description
炎の中へ,Into Fire,advancements.nether.obtain_blaze_rod.title
泣く黒曜石を手に入れる,Obtain Crying Obsidian,advancements.nether.obtain_crying_obsidian.description
玉ねぎを切っているのは誰？,Who is Cutting Onions?,advancements.nether.obtain_crying_obsidian.title
火の玉をガストに打ち返す,Destroy a Ghast with a fireball,advancements.nether.return_to_sender.description
差出人に返送,Return to Sender,advancements.nether.return_to_sender.title
歪んだキノコ付きの棒を持ってストライダーに乗る,Ride a Strider with a Warped Fungus on a Stick,advancements.nether.ride_strider.description
足のついたボート,This Boat Has Legs,advancements.nether.ride_strider.title
オーバーワールドの溶岩湖で長ーーーくストライダーを乗りこなす,Take a Strider for a loooong ride on a lava lake in the Overworld,advancements.nether.ride_strider_in_overworld_lava.description
実家のような安心感,Feels Like Home,advancements.nether.ride_strider_in_overworld_lava.title
夏服を持って来る,Bring summer clothes,advancements.nether.root.description
ネザー,Nether,advancements.nether.root.title
ウィザーを召喚する,Summon the Wither,advancements.nether.summon_wither.description
荒が丘,Withering Heights,advancements.nether.summon_wither.title
ガストをネザーから救出し、安全にオーバーワールドに持ち帰り…そして倒す。,"Rescue a Ghast from the Nether, bring it safely home to the Overworld... and then kill it",advancements.nether.uneasy_alliance.description
不安な同盟,Uneasy Alliance,advancements.nether.uneasy_alliance.title
ロードストーンにコンパスを使用する,Use a Compass on a Lodestone,advancements.nether.use_lodestone.description
この道をずっとゆけば,"Country Lode, Take Me Home",advancements.nether.use_lodestone.title
%s／%s,%s/%s,advancements.progress
(´･ω･`),:(,advancements.sad_label
村人ゾンビを弱らせてから治療する,Weaken and then cure a Zombie Villager,advancements.story.cure_zombie_villager.description
ゾンビドクター,Zombie Doctor,advancements.story.cure_zombie_villager.title
盾で飛び道具を跳ね返す,Deflect a projectile with a Shield,advancements.story.deflect_arrow.description
今日はやめておきます,"Not Today, Thank You",advancements.story.deflect_arrow.title
エンチャントテーブルでアイテムをエンチャントする,Enchant an item at an Enchanting Table,advancements.story.enchant_item.description
エンチャントの使い手,Enchanter,advancements.story.enchant_item.title
エンドポータルに入る,Enter the End Portal,advancements.story.enter_the_end.description
おしまい？,The End?,advancements.story.enter_the_end.title
ネザーポータルを作り、着火し、入る,"Build, light and enter a Nether Portal",advancements.story.enter_the_nether.description
さらなる深みへ,We Need to Go Deeper,advancements.story.enter_the_nether.title
エンダーアイを追いかける,Follow an Eye of Ender,advancements.story.follow_ender_eye.description
アイ・スパイ,Eye Spy,advancements.story.follow_ender_eye.title
黒曜石を手に入れる,Obtain a block of Obsidian,advancements.story.form_obsidian.description
アイス・バケツ・チャレンジ,Ice Bucket Challenge,advancements.story.form_obsidian.title
ツルハシを強化する,Upgrade your Pickaxe,advancements.story.iron_tools.description
鉄のツルハシで決まり,Isn't It Iron Pick,advancements.story.iron_tools.title
バケツを溶岩で満たす,Fill a Bucket with lava,advancements.story.lava_bucket.description
ホットスタッフ,Hot Stuff,advancements.story.lava_bucket.title
ダイヤモンドを手に入れる,Acquire diamonds,advancements.story.mine_diamond.description
ダイヤモンド！,Diamonds!,advancements.story.mine_diamond.title
真新しいツルハシで石を採掘する,Mine Stone with your new Pickaxe,advancements.story.mine_stone.description
石器時代,Stone Age,advancements.story.mine_stone.title
鉄の防具で身を守る,Protect yourself with a piece of iron armor,advancements.story.obtain_armor.description
装備せよ,Suit Up,advancements.story.obtain_armor.title
ゲームのストーリーと核心,The heart and story of the game,advancements.story.root.description
Minecraft,Minecraft,advancements.story.root.title
ダイヤモンドの防具は命を救います,Diamond armor saves lives,advancements.story.shiny_gear.description
ダイヤモンドで私を覆って,Cover Me with Diamonds,advancements.story.shiny_gear.title
鉄インゴットを製錬する,Smelt an Iron Ingot,advancements.story.smelt_iron.description
金属を手に入れる,Acquire Hardware,advancements.story.smelt_iron.title
より良いツルハシを作成する,Construct a better Pickaxe,advancements.story.upgrade_tools.description
アップグレード,Getting an Upgrade,advancements.story.upgrade_tools.title
挑戦完了！,Challenge Complete!,advancements.toast.challenge
目標達成！,Goal Reached!,advancements.toast.goal
進捗達成！,Advancement Made!,advancements.toast.task
「%s」は無効なエンティティのアンカー位置です,Invalid entity anchor position %s,argument.anchor.invalid
値が不足しています（角度は1つ必要です）,Incomplete (expected 1 angle),argument.angle.incomplete
無効な角度です,Invalid angle,argument.angle.invalid
「%s」は不明なブロックの種類です,Unknown block type '%s',argument.block.id.invalid
プロパティ「%s」はブロック%sに複数設定できません,Property '%s' can only be set once for block %s,argument.block.property.duplicate
ブロック%1$sのプロパティ%3$sに「%2$s」は設定できません,Block %s does not accept '%s' for %s property,argument.block.property.invalid
ブロック%2$sのプロパティ「%1$s」には値が必要です,Expected value for property '%s' on block %s,argument.block.property.novalue
ブロック状態のプロパティは ] で閉じる必要があります,Expected closing ] for block state properties,argument.block.property.unclosed
ブロック%sにはプロパティ「%s」がありません,Block %s does not have property '%s',argument.block.property.unknown
タグは許容されません、ブロックを指定してください,"Tags aren't allowed here, only actual blocks",argument.block.tag.disallowed
「%s」は不明な色です,Unknown color '%s',argument.color.invalid
無効なチャットのコンポーネントです：%s,Invalid chat component: %s,argument.component.invalid
「%s」は不明な条件です,Unknown criterion '%s',argument.criteria.invalid
「%s」は不明なディメンションです,Unknown dimension '%s',argument.dimension.invalid
この倍精度浮動小数点数は%s以下でなくてはならないため、%sは適しません,"Double must not be more than %s, found %s",argument.double.big
この倍精度浮動小数点数は%s以上でなくてはならないため、%sは適しません,"Double must not be less than %s, found %s",argument.double.low
無効な名前またはUUIDです,Invalid name or UUID,argument.entity.invalid
エンティティが見つかりませんでした,No entity was found,argument.entity.notfound.entity
プレイヤーが見つかりませんでした,No player was found,argument.entity.notfound.player
プレイヤーの進捗,Players with advancements,argument.entity.options.advancements.description
エンティティまでの距離,Distance to entity,argument.entity.options.distance.description
距離は負の値にできません,Distance cannot be negative,argument.entity.options.distance.negative
xからx + dxの間にいるエンティティ,Entities between x and x + dx,argument.entity.options.dx.description
yからy + dyの間にいるエンティティ,Entities between y and y + dy,argument.entity.options.dy.description
zからz + dzの間にいるエンティティ,Entities between z and z + dz,argument.entity.options.dz.description
プレイヤーのゲームモード,Players with game mode,argument.entity.options.gamemode.description
オプション「%s」は適切ではありません,Option '%s' isn't applicable here,argument.entity.options.inapplicable
経験値レベル,Experience level,argument.entity.options.level.description
レベルは負の値であってはいけません,Level shouldn't be negative,argument.entity.options.level.negative
返すことができるエンティティ数の最大値,Maximum number of entities to return,argument.entity.options.limit.description
上限は1以上でなくてはなりません,Limit must be at least 1,argument.entity.options.limit.toosmall
「%s」は無効または不明なゲームモードです,Invalid or unknown game mode '%s',argument.entity.options.mode.invalid
エンティティ名,Entity name,argument.entity.options.name.description
エンティティのNBT,Entities with NBT,argument.entity.options.nbt.description
カスタム条件,Custom predicate,argument.entity.options.predicate.description
エンティティのスコア,Entities with scores,argument.entity.options.scores.description
エンティティのソート方法,Sort the entities,argument.entity.options.sort.description
「%s」は無効または不明な並べ方です,Invalid or unknown sort type '%s',argument.entity.options.sort.irreversible
エンティティが持つタグ,Entities with tag,argument.entity.options.tag.description
エンティティが参加しているチーム,Entities on team,argument.entity.options.team.description
エンティティの種類,Entities of type,argument.entity.options.type.description
「%s」は無効または不明なエンティティの種類です,Invalid or unknown entity type '%s',argument.entity.options.type.invalid
「%s」は不明なオプションです,Unknown option '%s',argument.entity.options.unknown
オプションが閉じられていません,Expected end of options,argument.entity.options.unterminated
オプション「%s」には値が必要です,Expected value for option '%s',argument.entity.options.valueless
X座標,x position,argument.entity.options.x.description
エンティティのX軸回転,Entity's x rotation,argument.entity.options.x_rotation.description
Y座標,y position,argument.entity.options.y.description
エンティティのY軸回転,Entity's y rotation,argument.entity.options.y_rotation.description
Z座標,z position,argument.entity.options.z.description
